# X(lon) Y(lat) Val
6.502333 44.565666 871
3.764000 45.074501 833
3.019500 44.118500 712
1.106833 43.005333 414
1.175000 45.861168 402
0.000000 43.188000 360
5.959833 48.581001 336
3.149333 45.786835 331
7.510000 47.614334 263
1.396667 44.744999 260
5.077833 45.726501 235
5.088333 47.267834 219
2.359833 47.059166 161
1.181667 49.382999 151
1.378833 43.620998 151
7.640333 48.549500 150
0.110167 48.445499 143
0.314333 46.593834 123
5.940833 43.079334 115
4.020000 48.324669 112
0.727333 47.444500 108
4.155333 49.209667 95
-4.412000 48.444168 94
2.384333 48.716831 89
4.733000 44.581165 73
1.834000 50.136002 69
-0.456167 49.180000 67
-0.500167 43.909832 59
-3.473167 48.825832 55
-0.691333 44.830666 47
3.097500 50.570000 47
2.872833 42.737167 42
-1.734000 48.068832 36
-3.218333 47.294334 34
-1.608833 47.150002 26
-1.411500 46.046833 11
9.485167 42.540668 10
5.216000 43.437668 9
-1.939833 49.725166 6
8.792667 41.917999 5
3.963167 43.577000 2
7.209000 43.648834 2
