# X(lon) Y(lat) Val
5.088333 47.267834 100
0.727333 47.444500 100
1.175000 45.861168 100
-4.412000 48.444168 100
0.314333 46.593834 100
2.384333 48.716831 100
4.020000 48.324669 100
7.640333 48.549500 100
-1.608833 47.150002 100
1.181667 49.382999 100
3.764000 45.074501 100
-0.691333 44.830666 100
5.077833 45.726501 100
2.359833 47.059166 100
-0.456167 49.180000 100
-1.939833 49.725166 100
3.097500 50.570000 100
-1.411500 46.046833 100
1.378833 43.620998 100
4.155333 49.209667 100
0.000000 43.188000 100
3.019500 44.118500 99
1.834000 50.136002 99
-1.734000 48.068832 99
-3.473167 48.825832 99
3.963167 43.577000 99
0.110167 48.445499 98
5.959833 48.581001 98
1.396667 44.744999 98
7.510000 47.614334 98
5.216000 43.437668 98
3.149333 45.786835 97
-0.500167 43.909832 97
5.940833 43.079334 97
1.106833 43.005333 97
-3.218333 47.294334 97
2.872833 42.737167 95
4.733000 44.581165 94
9.485167 42.540668 93
8.792667 41.917999 92
6.502333 44.565666 88
7.209000 43.648834 86
