# Date Moy
"2020-01-01T01" 100996.666667
"2020-01-01T04" 100948.571429
"2020-01-01T07" 100948.571429
"2020-01-01T10" 101041.190476
"2020-01-01T13" 100977.142857
"2020-01-01T16" 100905.000000
"2020-01-01T19" 100935.952381
"2020-01-01T22" 100914.285714
"2020-01-02T01" 100858.333333
"2020-01-02T04" 100792.857143
"2020-01-02T07" 100744.523810
"2020-01-02T10" 100784.523810
"2020-01-02T13" 100685.238095
"2020-01-02T16" 100560.476190
"2020-01-02T19" 100564.761905
"2020-01-02T22" 100541.904762
"2020-01-03T01" 100509.523810
"2020-01-03T04" 100449.523810
"2020-01-03T07" 100487.619048
"2020-01-03T10" 100610.000000
"2020-01-03T13" 100644.523810
"2020-01-03T16" 100694.047619
"2020-01-03T19" 100866.904762
"2020-01-03T22" 101014.761905
"2020-01-04T01" 101080.000000
"2020-01-04T04" 101112.142857
"2020-01-04T07" 101179.285714
"2020-01-04T10" 101317.857143
"2020-01-04T13" 101291.904762
"2020-01-04T16" 101244.047619
"2020-01-04T19" 101322.619048
"2020-01-04T22" 101338.571429
"2020-01-05T01" 101315.000000
"2020-01-05T04" 101292.619048
"2020-01-05T07" 101267.857143
"2020-01-05T10" 101295.476190
"2020-01-05T13" 101186.666667
"2020-01-05T16" 101091.428571
"2020-01-05T19" 101085.714286
"2020-01-05T22" 101023.571429
"2020-01-06T01" 100912.142857
"2020-01-06T04" 100782.857143
"2020-01-06T07" 100718.809524
"2020-01-06T10" 100698.571429
"2020-01-06T13" 100561.666667
"2020-01-06T16" 100482.619048
"2020-01-06T19" 100592.857143
"2020-01-06T22" 100695.238095
"2020-01-07T01" 100727.619048
"2020-01-07T04" 100773.333333
"2020-01-07T07" 100780.714286
"2020-01-07T10" 100871.666667
"2020-01-07T13" 100799.285714
"2020-01-07T16" 100692.142857
"2020-01-07T19" 100728.095238
"2020-01-07T22" 100733.333333
"2020-01-08T01" 100699.047619
"2020-01-08T04" 100707.857143
"2020-01-08T07" 100709.047619
"2020-01-08T10" 100829.761905
"2020-01-08T13" 100755.714286
"2020-01-08T16" 100664.523810
"2020-01-08T19" 100663.333333
"2020-01-08T22" 100568.095238
"2020-01-09T01" 100416.428571
"2020-01-09T04" 100255.238095
"2020-01-09T07" 100100.714286
"2020-01-09T10" 99998.095238
"2020-01-09T13" 99791.666667
"2020-01-09T16" 99596.666667
"2020-01-09T19" 99573.095238
"2020-01-09T22" 99643.333333
"2020-01-10T01" 99750.476190
"2020-01-10T04" 99895.238095
"2020-01-10T07" 100087.857143
"2020-01-10T10" 100352.619048
"2020-01-10T13" 100518.095238
"2020-01-10T16" 100653.333333
"2020-01-10T19" 100848.095238
"2020-01-10T22" 101001.666667
"2020-01-11T01" 101066.190476
"2020-01-11T04" 101070.952381
"2020-01-11T07" 101068.809524
"2020-01-11T10" 101110.714286
"2020-01-11T13" 101014.523810
"2020-01-11T16" 100875.476190
"2020-01-11T19" 100859.761905
"2020-01-11T22" 100816.190476
"2020-01-12T01" 100720.476190
"2020-01-12T04" 100667.142857
"2020-01-12T07" 100660.476190
"2020-01-12T10" 100719.047619
"2020-01-12T13" 100676.666667
"2020-01-12T16" 100579.285714
"2020-01-12T19" 100625.238095
"2020-01-12T22" 100587.142857
"2020-01-13T01" 100489.285714
"2020-01-13T04" 100331.428571
"2020-01-13T07" 100162.619048
"2020-01-13T10" 100070.714286
"2020-01-13T13" 99847.142857
"2020-01-13T16" 99580.238095
"2020-01-13T19" 99481.428571
"2020-01-13T22" 99381.666667
"2020-01-14T01" 99353.333333
"2020-01-14T04" 99268.333333
"2020-01-14T07" 99293.571429
"2020-01-14T10" 99369.047619
"2020-01-14T13" 99345.000000
"2020-01-14T16" 99322.142857
"2020-01-14T19" 99397.619048
"2020-01-14T22" 99438.571429
"2020-01-15T01" 99449.761905
"2020-01-15T04" 99433.571429
"2020-01-15T07" 99461.666667
"2020-01-15T10" 99584.761905
"2020-01-15T13" 99738.571429
"2020-01-15T16" 99895.000000
"2020-01-15T19" 100186.666667
"2020-01-15T22" 100345.000000
