# Date Moy
"2020-01-01T01" 3.542857
"2020-01-01T04" 3.364286
"2020-01-01T07" 3.269048
"2020-01-01T10" 4.495238
"2020-01-01T13" 7.052381
"2020-01-01T16" 7.223810
"2020-01-01T19" 5.407143
"2020-01-01T22" 4.623810
"2020-01-02T01" 4.354762
"2020-01-02T04" 4.207143
"2020-01-02T07" 4.173810
"2020-01-02T10" 5.342857
"2020-01-02T13" 8.369048
"2020-01-02T16" 9.124390
"2020-01-02T19" 7.088095
"2020-01-02T22" 6.880952
"2020-01-03T01" 6.970732
"2020-01-03T04" 6.811905
"2020-01-03T07" 6.702381
"2020-01-03T10" 7.638095
"2020-01-03T13" 10.235714
"2020-01-03T16" 10.188095
"2020-01-03T19" 8.659524
"2020-01-03T22" 7.750000
"2020-01-04T01" 7.150000
"2020-01-04T04" 6.147619
"2020-01-04T07" 5.380952
"2020-01-04T10" 6.250000
"2020-01-04T13" 9.540476
"2020-01-04T16" 9.392857
"2020-01-04T19" 6.961905
"2020-01-04T22" 5.902381
"2020-01-05T01" 4.976190
"2020-01-05T04" 4.278571
"2020-01-05T07" 3.607143
"2020-01-05T10" 4.685714
"2020-01-05T13" 8.259524
"2020-01-05T16" 8.592857
"2020-01-05T19" 5.509524
"2020-01-05T22" 3.897619
"2020-01-06T01" 2.840000
"2020-01-06T04" 1.930952
"2020-01-06T07" 1.273810
"2020-01-06T10" 3.229268
"2020-01-06T13" 8.064286
"2020-01-06T16" 9.238095
"2020-01-06T19" 6.342857
"2020-01-06T22" 5.530952
"2020-01-07T01" 5.354762
"2020-01-07T04" 5.385714
"2020-01-07T07" 5.769048
"2020-01-07T10" 6.969048
"2020-01-07T13" 9.664286
"2020-01-07T16" 10.411905
"2020-01-07T19" 8.821429
"2020-01-07T22" 8.069048
"2020-01-08T01" 7.988095
"2020-01-08T04" 7.673810
"2020-01-08T07" 7.978571
"2020-01-08T10" 8.957143
"2020-01-08T13" 11.550000
"2020-01-08T16" 12.238095
"2020-01-08T19" 9.854762
"2020-01-08T22" 8.883333
"2020-01-09T01" 8.642857
"2020-01-09T04" 8.247619
"2020-01-09T07" 8.026190
"2020-01-09T10" 9.488095
"2020-01-09T13" 12.561905
"2020-01-09T16" 12.542857
"2020-01-09T19" 10.011905
"2020-01-09T22" 9.083333
"2020-01-10T01" 8.569048
"2020-01-10T04" 8.252381
"2020-01-10T07" 7.880952
"2020-01-10T10" 8.011905
"2020-01-10T13" 9.397619
"2020-01-10T16" 9.376190
"2020-01-10T19" 7.261905
"2020-01-10T22" 6.197619
"2020-01-11T01" 5.216667
"2020-01-11T04" 4.666667
"2020-01-11T07" 4.266667
"2020-01-11T10" 5.433333
"2020-01-11T13" 9.050000
"2020-01-11T16" 9.314286
"2020-01-11T19" 6.028571
"2020-01-11T22" 4.451220
"2020-01-12T01" 3.585714
"2020-01-12T04" 3.270732
"2020-01-12T07" 3.040476
"2020-01-12T10" 4.766667
"2020-01-12T13" 9.000000
"2020-01-12T16" 9.692857
"2020-01-12T19" 6.757143
"2020-01-12T22" 5.585714
"2020-01-13T01" 4.914634
"2020-01-13T04" 4.178571
"2020-01-13T07" 4.173810
"2020-01-13T10" 5.559524
"2020-01-13T13" 8.854762
"2020-01-13T16" 10.126190
"2020-01-13T19" 7.902381
"2020-01-13T22" 7.240476
"2020-01-14T01" 7.080952
"2020-01-14T04" 7.161905
"2020-01-14T07" 7.021429
"2020-01-14T10" 8.330952
"2020-01-14T13" 11.514286
"2020-01-14T16" 12.111905
"2020-01-14T19" 10.119048
"2020-01-14T22" 9.280952
"2020-01-15T01" 8.647619
"2020-01-15T04" 7.943902
"2020-01-15T07" 7.795122
"2020-01-15T10" 9.045238
"2020-01-15T13" 11.930952
"2020-01-15T16" 11.995238
"2020-01-15T19" 9.385714
"2020-01-15T22" 7.828571
