# X(lon) Y(lat) Moy_Direction Moy_Speed
1.834000 50.136002 206.218487 3.266387
3.097500 50.570000 199.083333 5.718333
-1.939833 49.725166 224.529915 8.000000
-0.456167 49.180000 210.083333 5.404167
1.181667 49.382999 205.210084 4.763025
4.155333 49.209667 196.974790 3.489076
-4.412000 48.444168 224.583333 6.158333
-3.473167 48.825832 221.932773 5.157983
-1.734000 48.068832 200.598291 4.277778
0.110167 48.445499 207.181818 3.858182
2.384333 48.716831 210.940171 4.040171
4.020000 48.324669 192.711864 4.045763
5.959833 48.581001 195.833333 4.425833
7.640333 48.549500 198.220339 2.607627
-3.218333 47.294334 219.583333 7.753333
-1.608833 47.150002 211.864407 3.977119
0.727333 47.444500 205.500000 4.085000
2.359833 47.059166 209.304348 2.988696
5.088333 47.267834 229.900990 2.999010
7.510000 47.614334 202.478632 2.434188
-1.411500 46.046833 181.500000 6.014167
0.314333 46.593834 198.739496 4.565546
1.175000 45.861168 154.500000 3.412500
3.149333 45.786835 191.025641 2.925641
3.764000 45.074501 218.598131 2.097196
5.077833 45.726501 180.593220 3.822881
-0.691333 44.830666 181.120690 2.684483
1.396667 44.744999 186.146789 2.087156
3.019500 44.118500 194.864865 3.430631
4.733000 44.581165 111.809524 3.889524
6.502333 44.565666 111.333333 2.182857
-0.500167 43.909832 125.044248 1.715929
0.000000 43.188000 172.735043 2.334188
1.106833 43.005333 183.823529 1.649020
1.378833 43.620998 187.304348 3.346087
3.963167 43.577000 173.529412 3.368067
5.216000 43.437668 188.534483 3.234483
5.940833 43.079334 190.000000 3.827500
7.209000 43.648834 295.666667 4.485000
2.872833 42.737167 253.728814 3.537288
8.792667 41.917999 85.882353 2.867227
9.485167 42.540668 206.333333 2.905000
