ID OMM station;Coordonnees;Humidité
7280;47.267834,5.088333;100
7240;47.444500,0.727333;100
7434;45.861168,1.175000;100
7280;47.267834,5.088333;100
7110;48.444168,-4.412000;100
7434;45.861168,1.175000;100
7280;47.267834,5.088333;100
7280;47.267834,5.088333;100
7335;46.593834,0.314333;100
7149;48.716831,2.384333;100
7168;48.324669,4.020000;100
7335;46.593834,0.314333;100
7190;48.549500,7.640333;100
7222;47.150002,-1.608833;100
7222;47.150002,-1.608833;100
7434;45.861168,1.175000;100
7434;45.861168,1.175000;100
7110;48.444168,-4.412000;100
7280;47.267834,5.088333;100
7110;48.444168,-4.412000;100
7434;45.861168,1.175000;100
7280;47.267834,5.088333;100
7190;48.549500,7.640333;100
7335;46.593834,0.314333;100
7190;48.549500,7.640333;100
7037;49.382999,1.181667;100
7280;47.267834,5.088333;100
7434;45.861168,1.175000;100
7471;45.074501,3.764000;100
7280;47.267834,5.088333;100
7280;47.267834,5.088333;100
7110;48.444168,-4.412000;100
7510;44.830666,-0.691333;100
7481;45.726501,5.077833;100
7481;45.726501,5.077833;100
7434;45.861168,1.175000;100
7190;48.549500,7.640333;100
7240;47.444500,0.727333;100
7255;47.059166,2.359833;100
7481;45.726501,5.077833;100
7149;48.716831,2.384333;100
7481;45.726501,5.077833;100
7255;47.059166,2.359833;100
7027;49.180000,-0.456167;100
7037;49.382999,1.181667;100
7222;47.150002,-1.608833;100
7190;48.549500,7.640333;100
7110;48.444168,-4.412000;100
7434;45.861168,1.175000;100
7335;46.593834,0.314333;100
7280;47.267834,5.088333;100
7222;47.150002,-1.608833;100
7110;48.444168,-4.412000;100
7110;48.444168,-4.412000;100
7020;49.725166,-1.939833;100
7149;48.716831,2.384333;100
7280;47.267834,5.088333;100
7110;48.444168,-4.412000;100
7037;49.382999,1.181667;100
7280;47.267834,5.088333;100
7037;49.382999,1.181667;100
7222;47.150002,-1.608833;100
7015;50.570000,3.097500;100
7240;47.444500,0.727333;100
7335;46.593834,0.314333;100
7434;45.861168,1.175000;100
7255;47.059166,2.359833;100
7280;47.267834,5.088333;100
7240;47.444500,0.727333;100
7471;45.074501,3.764000;100
7434;45.861168,1.175000;100
7280;47.267834,5.088333;100
7190;48.549500,7.640333;100
7240;47.444500,0.727333;100
7240;47.444500,0.727333;100
7037;49.382999,1.181667;100
7037;49.382999,1.181667;100
7434;45.861168,1.175000;100
7314;46.046833,-1.411500;100
7434;45.861168,1.175000;100
7471;45.074501,3.764000;100
7020;49.725166,-1.939833;100
7434;45.861168,1.175000;100
7190;48.549500,7.640333;100
7190;48.549500,7.640333;100
7222;47.150002,-1.608833;100
7168;48.324669,4.020000;100
7280;47.267834,5.088333;100
7222;47.150002,-1.608833;100
7630;43.620998,1.378833;100
