ID OMM station;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Coordonnees
7005;240;5.400000;50.136002,1.834000
7005;290;1.900000;50.136002,1.834000
7005;200;1.000000;50.136002,1.834000
7005;210;1.000000;50.136002,1.834000
7005;170;1.900000;50.136002,1.834000
7005;140;4.100000;50.136002,1.834000
7005;180;3.300000;50.136002,1.834000
7005;210;2.700000;50.136002,1.834000
7005;170;1.500000;50.136002,1.834000
7005;350;4.100000;50.136002,1.834000
7005;190;1.800000;50.136002,1.834000
7005;160;2.400000;50.136002,1.834000
7005;190;2.600000;50.136002,1.834000
7005;320;7.000000;50.136002,1.834000
7005;160;2.500000;50.136002,1.834000
7005;330;6.600000;50.136002,1.834000
7005;200;3.700000;50.136002,1.834000
7005;190;5.800000;50.136002,1.834000
7005;320;4.900000;50.136002,1.834000
7005;320;5.100000;50.136002,1.834000
7005;200;3.100000;50.136002,1.834000
7005;180;4.900000;50.136002,1.834000
7005;210;2.000000;50.136002,1.834000
7005;190;1.800000;50.136002,1.834000
7005;190;1.400000;50.136002,1.834000
7005;300;7.900000;50.136002,1.834000
7005;320;3.500000;50.136002,1.834000
7005;160;2.700000;50.136002,1.834000
7005;250;3.400000;50.136002,1.834000
7005;240;4.100000;50.136002,1.834000
7005;170;4.000000;50.136002,1.834000
7005;130;2.500000;50.136002,1.834000
7005;160;2.300000;50.136002,1.834000
7005;130;3.100000;50.136002,1.834000
7005;220;1.800000;50.136002,1.834000
7005;320;2.700000;50.136002,1.834000
7005;290;3.100000;50.136002,1.834000
7005;180;3.600000;50.136002,1.834000
7005;210;2.900000;50.136002,1.834000
7005;130;2.500000;50.136002,1.834000
7005;180;3.000000;50.136002,1.834000
7005;180;2.900000;50.136002,1.834000
7005;180;3.900000;50.136002,1.834000
7005;180;5.200000;50.136002,1.834000
7005;230;2.100000;50.136002,1.834000
7005;190;2.000000;50.136002,1.834000
7005;170;3.000000;50.136002,1.834000
7005;220;2.900000;50.136002,1.834000
7005;200;1.400000;50.136002,1.834000
7005;190;2.800000;50.136002,1.834000
7005;190;3.300000;50.136002,1.834000
7005;170;3.000000;50.136002,1.834000
7005;210;1.200000;50.136002,1.834000
7005;150;4.500000;50.136002,1.834000
7005;260;5.200000;50.136002,1.834000
7005;200;1.100000;50.136002,1.834000
7005;200;2.200000;50.136002,1.834000
7005;190;2.300000;50.136002,1.834000
7005;180;1.700000;50.136002,1.834000
7005;260;3.600000;50.136002,1.834000
7005;180;2.500000;50.136002,1.834000
7005;230;3.500000;50.136002,1.834000
7005;120;2.700000;50.136002,1.834000
7005;220;1.500000;50.136002,1.834000
