ID OMM station;Date;Pression au niveau mer;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Humidité;Pression station;Variation de pression en 24 heures;Précipitations dans les 24 dernières heures;Coordonnees;Température (°C);Température minimale sur 24 heures (°C);Température maximale sur 24 heures (°C);Altitude;communes (code)
7591;2020-01-08T13:00:00+01:00;0;80;1.300000;29;92780;0;0;44.565666,6.502333;9.500000;0;0;871;0
7591;2020-01-15T16:00:00+01:00;0;200;3.300000;57;92450;0;0;44.565666,6.502333;7.600000;0;0;871;0
7591;2020-01-12T22:00:00+01:00;0;250;0.700000;53;92400;0;0;44.565666,6.502333;0.600000;0;0;871;0
7591;2020-01-10T16:00:00+01:00;0;170;1.200000;45;92180;0;0;44.565666,6.502333;6.800000;0;0;871;0
7591;2020-01-02T04:00:00+01:00;0;30;3.300000;61;92870;0;0;44.565666,6.502333;1.200000;0;0;871;0
7591;2020-01-04T07:00:00+01:00;0;200;1.700000;73;92410;0;0;44.565666,6.502333;-1.200000;0;0;871;0
7591;2020-01-10T07:00:00+01:00;0;350;0.900000;68;92210;0;0;44.565666,6.502333;0.300000;0;0;871;0
7591;2020-01-09T19:00:00+01:00;0;350;0.800000;60;92350;0;0;44.565666,6.502333;2.500000;0;0;871;0
7591;2020-01-15T04:00:00+01:00;0;40;3.400000;74;92430;0;0;44.565666,6.502333;-2.000000;0;0;871;0
7591;2020-01-04T10:00:00+01:00;0;50;1.500000;74;92600;0;0;44.565666,6.502333;0.400000;0;0;871;0
7591;2020-01-09T10:00:00+01:00;0;50;3.200000;59;92580;0;0;44.565666,6.502333;2.000000;0;0;871;0
7591;2020-01-08T22:00:00+01:00;0;0;0.000000;59;92870;0;0;44.565666,6.502333;1.700000;0;0;871;0
7591;2020-01-14T10:00:00+01:00;0;40;5.100000;62;92290;0;0;44.565666,6.502333;-1.200000;0;0;871;0
7591;2020-01-03T13:00:00+01:00;0;40;2.000000;42;92590;0;0;44.565666,6.502333;8.200000;0;0;871;0
7591;2020-01-04T13:00:00+01:00;0;180;1.300000;45;92480;0;0;44.565666,6.502333;8.100000;0;0;871;0
